mtv,#genre#
0102-李丽芬-得意的笑,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0102-李丽芬-得意的笑.mp3
0103-徐佳莹-身骑白马,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0103-徐佳莹-身骑白马.mp3
0104-陈雅森-我的快乐就是想你,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0104-陈雅森-我的快乐就是想你.mp3
0105-沙漠骆驼-展展与罗罗,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0105-沙漠骆驼-展展与罗罗.mp3
0106-徐佳莹-失落沙洲,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0106-徐佳莹-失落沙洲.mp3
0107-魏佳艺-孟婆的碗,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0107-魏佳艺-孟婆的碗.mp3
0108-孙露-再度重相逢-广场舞版,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0108-孙露-再度重相逢-广场舞版.mp3
0109-阿木-你是我眼角的一滴泪,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0109-阿木-你是我眼角的一滴泪.mp3
0110-赵丽-唱给老公的歌,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0110-赵丽-唱给老公的歌.mp3
0111-姜鹏-江湖大道-DJ版,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0111-姜鹏-江湖大道-DJ版.mp3
0112-谢春花-我从崖边跌落,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0112-谢春花-我从崖边跌落.mp3
0113-欧闻-责无旁贷,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0113-欧闻-责无旁贷.mp3
0114-王沐沐-爱情小丑,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0114-王沐沐-爱情小丑.mp3
0115-云菲菲-今夜我对你想入非非,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0115-云菲菲-今夜我对你想入非非.mp3
0116-程响-不要对我说,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0116-程响-不要对我说.mp3
0117-蓝琪儿-爱火,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0117-蓝琪儿-爱火.mp3
0118-皓天-别哭了宝贝,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0118-皓天-别哭了宝贝.mp3
0119-白雪-久别的人,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0119-白雪-久别的人.mp3
0120-吕方-朋友别哭,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0120-吕方-朋友别哭.mp3
0121-水木年华-为梦而生,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0121-水木年华-为梦而生.mp3
0122-裘海正-亏欠一生,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0122-裘海正-亏欠一生.mp3
0123-王筝-想着你睡不着,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0123-王筝-想着你睡不着.mp3
0124-陈慧琳-记事本,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-2/0124-陈慧琳-记事本.mp3
音乐best-love-mp3-3,#genre#
0125-林忆莲-伤痕,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0125-林忆莲-伤痕.mp3
0126-迪克牛仔-有多少爱可以重来,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0126-迪克牛仔-有多少爱可以重来.mp3
0127-辛晓琪-味道,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0127-辛晓琪-味道.mp3
0128-刀郎-爱是你我,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0128-刀郎-爱是你我.mp3
0129-黑龙、周艳泓-其实我的心没走,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0129-黑龙、周艳泓-其实我的心没走.mp3
0130-小文-有些难以启齿的柔弱,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0130-小文-有些难以启齿的柔弱.mp3
0131-司徒兰芳-女人不是妖,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0131-司徒兰芳-女人不是妖.mp3
0132-藕断丝连-陈瑞,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0132-藕断丝连-陈瑞.mp3
0133-凤凰传奇-荷塘月色,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0133-凤凰传奇-荷塘月色.mp3
0134-贺一航-一个人的寂寞两个人的错,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0134-贺一航-一个人的寂寞两个人的错.mp3
0135-孙露-甘心情愿,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0135-孙露-甘心情愿.mp3
0136-红山果,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0136-红山果.mp3
0137-龚玥-妻子辛苦了,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0137-龚玥-妻子辛苦了.mp3
0138-老狼-同桌的你-风行版,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0138-老狼-同桌的你-风行版.mp3
0139-王强-秋天不回来,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0139-王强-秋天不回来.mp3
0140-高安,杭娇-一生无悔,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0140-高安,杭娇-一生无悔.mp3
0141-孙露-离别的秋天,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0141-孙露-离别的秋天.mp3
0142-庄心妍-一万个舍不得,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0142-庄心妍-一万个舍不得.mp3
0143-胡小宝、门丽-哥哥妹妹,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0143-胡小宝、门丽-哥哥妹妹.mp3
0144-花儿乐队-穷开心,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0144-花儿乐队-穷开心.mp3
0145-任盈盈-没了心的爱,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0145-任盈盈-没了心的爱.mp3
0146-黄龄-痒,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0146-黄龄-痒.mp3
0147-马条-给给,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0147-马条-给给.mp3
0148-杨蔓、雨天-陪你一起老,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0148-杨蔓、雨天-陪你一起老.mp3
0149-王菲-传奇,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0149-王菲-传奇.mp3
0150-王铁峰-小妹听我说,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0150-王铁峰-小妹听我说.mp3
0151-许茹芸-如果云知道,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0151-许茹芸-如果云知道.mp3
0152-孙露-一笔勾销-慢四,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0152-孙露-一笔勾销-慢四.mp3
0153-格格-火苗,http://192.168.1.219:99/娱乐/音乐/best-love-mp3-3/0153-格格-火苗.mp3
